Id,PostTypeId,AcceptedAnswerId,creationDate,CurrentDate,Days,Score,ViewCount,Body,LastActivityDate,Title,Tags,AnswerCount,CommentCount,Class
40586,1,40593,02-09-08,23-10-20,4434,2,2948,"<p>In a try/except block, how do I extract the Oracle error number?</p>
",22-11-16 6:58,cx_Oracle: how do I get the ORA-xxxxx error number?,<python><oracle><cx-oracle>,1,0,
16094747,1,16095170,18-04-13,23-10-20,2745,4,18417,"<p>I am facing the below oracle error for the query </p>

<p><strong>Insert Query:</strong></p>

<pre><code>INSERT INTO WINBACK_REFERRAL_CODES
  (REFERRAL_CODE, IS_DELETED,  CREATED_BY, 
   CREATED_DT,
   MODIFIED_BY,
   MODIFIED_DT, DELETED_BY,  DELETED_DT)
values
  ('sfsdfsd',     'N',         'LA\a03789',
   To_date('4/18/2013 3:57:47 PM','MM/DD/YYYY HH12:MI:SS AM'),
   '',
   To_date('','MM/DD/YYYY HH12:MI:SS AM'),
   '',
   To_date('4/18/2013 3:57:47 PM','MM/DD/YYYY HH12:MM:SS AM'));
</code></pre>

<p><strong>ERROR MESSAGE:</strong></p>

<p>Can someone please help me resolving this issue. I am trying to insert date and time in this format <strong>4/18/2013 3:57:47 PM</strong> to oracle DB.</p>
",19-04-13 1:24,format code appears twice error while inserting DATETIME from C# to Oracle DB,<c#><oracle><datetime><insert-query>,1,2,
16104218,1,16104302,19-04-13,23-10-20,2744,13,16907,"<p>I'm doing something like</p>

<pre><code>...
OracleCommand oCommand = new OracleCommand();
oConnection.Open();
oCommand.Connection = oConnection;
oCommand.CommandText = ""SELECT * FROM employees WHERE user = :User"";
oCommand.Parameters.AddWithValue("":Name"", ""Employee1"");

DbDataReader dbRdr = oCommand.ExecuteReader();
</code></pre>

<p>then this throws an exception: </p>

<blockquote>
  <p>ORA-01745: invalid host/bind variable name</p>
</blockquote>

<p>EDIT: connection string looks like this:</p>

<pre><code>""Data Source=orcl;Persist Security Info=True;User ID=user_id;Password=pwd;Unicode=True""
</code></pre>

<p>No error after the <code>oConnection.Open();</code> so I assume my connection string is correct.</p>

<p>On which part did I make a mistake?</p>
",12-11-14 8:41,ORA-01745 error while executing parameterized queries in c#,<c#><.net><oracle>,2,6,
16165438,1,,23-04-13,23-10-20,2740,1,55,"<p>When I try to execute below query im getting error at 4th line like ""
ORA-06512: at line 5"", where ""sample"" is dynamic global temporary table.</p>

<pre><code> declare max_seq_dp varchar2(20);
 cnt number(20);
 begin
  execute immediate 'select count(*) into cnt from sample';
  dbms_output.put_line(cnt);
  if (cnt)&gt;0 then
     begin
       select max(sequence_number) into max_seq_dp 
       from sample1 where column1 = '2045'
       and is_active = 1;
       dbms_output.put_line(max_seq_dp);
     end;
  end if;
 end;
</code></pre>

<p>Thanks      </p>
",23-04-13 9:33,Dynamic Query error,<plsql><oracle11g>,1,1,
32228719,1,,26-08-15,23-10-20,1885,1,303,"<p>Having the weirdest problem ever. I do have an sql insert statement, that properly works in sql. When i put that sql into vba it works very good from my pc. However, it does not work and shows sql error: missing comma. Where can be the problem??? I use Access 2010 plus, others use same Access version and having same ODB connections (DSN servers) . Some code example:</p>

<pre><code>   sql = ""Driver={Microsoft ODBC for Oracle}; "" &amp; _
        ""CONNECTSTRING=(DESCRIPTION="" &amp; _
        ""(ADDRESS=(PROTOCOL=TCP)"" &amp; _
        ""(HOST= ODB)(PORT=1520))"" &amp; _
        ""(CONNECT_DATA=(SERVICE_NAME=ABTL))); uid=IN; pwd=XXX;""

  Set con = New ADODB.Connection
  Set rec = New ADODB.Recordset
  Set cmd = New ADODB.Command
  con.Open sql

        Set db = CurrentDb()
        Set rst = db.OpenRecordset(strSQL)

Do While Not rst.EOF

insetSQL = con.Execute("" INSERT INTO STOCK (PNM_AUTO_KEY, PN, DESCRIPTION, HISTORICAL_FLAG, qty_oh, qty_adj, qty_available, CTRL_NUMBER, CTRL_ID, receiver_number, rec_date, serial_number,pcc_auto_key, cnc_auto_key, loc_auto_key, whs_auto_key, unit_cost, adj_cost, stc_auto_key, visible_mkt, remarks, ifc_auto_key, exp_date, unit_price, tagged_by, tag_date, owner, PART_CERT_NUMBER,ORIGINAL_PO_NUMBER, SHELF_LIFE, CTS_AUTO_KEY, MFG_LOT_NUM, AIRWAY_BILL )"" &amp; _
                                    ""  VALUES ( "" &amp; rst![minimumas] &amp; "", '"" &amp; rst![pn] &amp; ""', '"" &amp; ""FROM_SCRIPT"" &amp; ""', '"" &amp; ""F"" &amp; ""',"" &amp; rst![qty_oh] &amp; "","" &amp; rst![qty_oh] &amp; "","" &amp; rst![qty_oh] &amp; "","" &amp; ""G_STM_CTRL_NUMBER.nextval"" &amp; "","" &amp; ""1"" &amp; "", '"" &amp; rst![receiver_number] &amp; ""', "" &amp; "" TO_DATE('"" &amp; rst![rec_date] &amp; ""','YYYY-MM-DD'), '"" &amp; rst![serial_number] &amp; ""',"" &amp; rst![pcc_auto_key] &amp; "","" &amp; rst![cnc_auto_key] &amp; "","" &amp; rst![loc_auto_key] &amp; "","" &amp; rst![whs_auto_key] &amp; "","" &amp; rst![unit_cost] &amp; "","" &amp; rst![unit_cost] &amp; "","" &amp; ""1"" &amp; "",'"" &amp; ""T"" &amp; ""', '"" &amp; rst![remarks] &amp; ""',"" &amp; _
                                      ""1"" &amp; "", "" &amp; "" TO_DATE('"" &amp; rst![exp_date] &amp; ""','YYYY-MM-DD'), "" &amp; ""0"" &amp; "",'"" &amp; rst![TAGGED_BY] &amp; ""', "" &amp; "" TO_DATE('"" &amp; rst![tag_date] &amp; ""','YYYY-MM-DD'), '"" &amp; """" &amp; ""', '"" &amp; rst![PART_CERT_NUMBER] &amp; ""', '"" &amp; rst![ORIGINAL_PO_NUMBER] &amp; ""', '"" &amp; rst![SHELF_LIFE] &amp; ""', "" &amp; rst![CERT_SOURCE] &amp; "", '"" &amp; rst![MFG_LOT_NUM] &amp; ""', '"" &amp; rst![AIRWAY_BILL] &amp; ""'"" &amp; "" )"")

Loop 
</code></pre>
",28-08-15 8:30,Missing comma error error inserting sql through access 2010 vba,<sql><vba><ms-access><oracle11g><ms-access-2007>,1,4,
32257125,1,,27-08-15,23-10-20,1884,1,3593,"<p>I am using Ubuntu 15.04, I am trying to install Oracle 11G.
before installing the Oracle I have install all the package mention bellow.</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>sudo apt-get install libaio1
sudo apt-get install libaio-dev
sudo apt-get install unixODBC
sudo apt-get install unixODBC-dev
sudo apt-get install expat
sudo apt-get install sysstat
sudo apt-get install libelf-dev
sudo apt-get install elfutils
sudo apt-get install lsb-cxx
sudo apt-get install pdksh
sudo apt-get install libstdc++5
sudo apt-get install ia32-libs
sudo apt-get install ksh
sudo apt-get install lesstif2
sudo apt-get install alien
sudo apt-get install gcc
sudo apt-get install gawk
sudo apt-get install binutils
sudo apt-get install gawk
sudo apt-get install x11-utils
sudo apt-get install rpm
sudo apt-get install alien
sudo apt-get install lsb-rpm
sudo apt-get install libmotif3
sudo apt-get install lesstif2
sudo apt-get install openssh-server</code></pre>
</div>
</div>
</p>

<p>While installing Oracle I am getting this error
<a href=""https://i.stack.imgur.com/f2xp5.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/f2xp5.jpg"" alt=""Error""></a></p>

<p><strong>LOG Errors</strong></p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>INFO: /usr/bin/ld: cannot find -lclntsh
/usr/bin/ld: cannot find /usr/lib64/libpthread_nonshared.a inside 

INFO: collect2: error: ld returned 1 exit status

INFO: /home/varun/app/varun/product/11.2.0/dbhome_1/plsql/lib/ins_plsql.mk:33: recipe for target 'wrap' failed

INFO: make: *** [wrap] Error 1

INFO: End output from spawned process.
INFO: ----------------------------------
INFO: Exception thrown from action: make
Exception Name: MakefileException
Exception String: Error in invoking target 'install' of makefile '/home/varun/app/varun/product/11.2.0/dbhome_1/plsql/lib/ins_plsql.mk'. See '/home/varun/app/oraInventory/logs/installActions2015-08-27_11-31-03PM.log' for details.
Exception Severity: 1</code></pre>
</div>
</div>
</p>

<p>I really dont have idea how do I resolve this. Searched lot on the net but could not find solution. Does any body have idea how do I FIXED IT</p>
",28-08-15 3:23,Error in invoking target 'links proc gen_pcscfg' of makefile oracle error in ubuntu,<oracle><oracle11g><makefile><ubuntu-15.04>,1,0,
16230446,1,,26-04-13,23-10-20,2737,4,47459,"<p>I am passing Resultset object to each thread. Each thread is connecting to the database and inserting data. Untill thread 110 it is working fine. After it crosses 111 thread it throws the above exception.</p>

<p>I am using oracle 11g.</p>

<p>My sample Thread code is:</p>

<pre><code>class MyThreadClass implements Runnable 

{

    public Connection connection;

    public Statement statement2;

    public ResultSet rs2;    

    public String cookie;


    public MyThreadClass(ResultSet rs1)  
    {
      rs2=rs1;
    }

    public void run() 
    {    
       try
       {                    
            cookie=rs2.getString(""COOKIE"");
            driver = ""oracle.jdbc.driver.OracleDriver"";
            url    = ""jdbc:oracle:thin:@127.0.0.1:1521:xx"";
            /* connection

                statement2.executeUpdate(""INSERT INTO visit_header  VALUES ('""+cookie+""')"");

       }
</code></pre>

<p>I am not getting how to handle this exception.</p>
",19-10-16 11:00,"java.sql.SQLException: Listener refused the connection with the following error: ORA-12519, TNS:no appropriate service handler found",<java><oracle><jdbc>,3,0,
283061,1,629908,12-11-08,23-10-20,4363,10,33366,"<p>My installation of APEX has come pear shaped on a Oracle 9.2.0.5.0 instance, all the packages are invalid.</p>

<p>I've tried recompiling everything with DBMS_UTILITY.compile_schema, but still all the packages are invalid. So, tried recompiling individual packages,</p>

<pre><code>SQL&gt; ALTER PACKAGE FLOWS_020000.WWV_FLOW_QUERY COMPILE BODY;

Warning: Package Body altered with compilation errors.

SQL&gt; show err
No errors.
SQL&gt; 
SQL&gt; ALTER PACKAGE FLOWS_020000.WWV_FLOW_QUERY COMPILE;

Warning: Package altered with compilation errors.

SQL&gt; show err
No errors.
SQL&gt; 
</code></pre>

<p>nothing in the alter log for it..</p>

<p>How can I find what the error is? shouldn't ""show err"" give it to me?</p>
",01-10-19 11:36,PL/SQL compilation fails with no error message,<oracle><plsql>,6,0,
40402473,1,,03-11-16,23-10-20,1450,2,3679,"<p>I have the below function in package where i am trying to decrpyt the encrypted password but getting the below error message:</p>

<pre><code>ORA-28817: PL/SQL function returned an error.
ORA-06512: at ""SYS.DBMS_CRYPTO_FFI"", 
ORA-06512: at ""SYS.DBMS_CRYPTO"", 
ORA-06512: at ""RATOR_MONITORING_CONFIGURATION.ENCRYPT_DECRYPT_PASSWORD"", line 11    
28817. 00000 -  ""PL/SQL function returned an error.""
*Cause:    A PL/SQL function returned an error unexpectedly.
*Action:   This is an internal error. Enable tracing to find more
           information. Contact Oracle customer support if needed.
*Document: NO
</code></pre>

<p>When i run this package in different server and machine then i am able to execute the package and able to decrypt the password with the same query.</p>

<p>Below is my package:</p>

<pre><code>create or replace PACKAGE BODY ""ENCRYPT_DECRYPT_PASSWORD""
AS

  l_key RAW(128) := utl_raw.cast_to_raw('abcdefgh');

 FUNCTION decrypt_val( p_val IN varchar2 ) RETURN VARCHAR2
  IS
    l_decrypted RAW(2048);
    l_val RAW(2048) := utl_raw.cast_to_raw(p_val);
   BEGIN
         l_decrypted := dbms_crypto.decrypt
                ( src =&gt;  l_val,
                  typ =&gt; dbms_crypto.des_cbc_pkcs5,
                  key =&gt; l_key );

         return utl_raw.cast_to_varchar2(l_decrypted);

  END decrypt_val;


FUNCTION get_decrypted_password( table_name IN varchar2,column_name IN varchar2,table_id IN varchar2,table_id_val IN varchar2 ) RETURN VARCHAR2
  IS
     encrypted_pas varchar2(100);
     decrypted_pas varchar2(100);

   BEGIN
      EXECUTE IMMEDIATE 'select ' || column_name || ' from ' || table_name || ' where ' || table_id || ' = ' || table_id_val
         INTO encrypted_pas;
         Select decrypt_val(encrypted_pas) into decrypted_pas from dual;
          return decrypt_val(encrypted_pas);
  END get_decrypted_password;

END encrypt_decrypt_password;
</code></pre>

<p>I also tried giving <code>DBMS_CRYPTO</code> permission to the user and my package has also been compiled but when i tried to run the below command to decrypt the password then i am getting the error.</p>

<pre><code>Select ENCRYPT_DECRYPT_PASSWORD.get_decrypted_password('DB_CONNECTION','PASSWORD','DB_CONNECTION_ID',11) from dual;
</code></pre>
",03-11-16 14:27,SYS.DBMS_CRYPTO error while decrypting the encrypted password,<oracle><function><encryption><package><dbms-crypto>,0,8,
334625,1,354377,02-12-08,23-10-20,4343,1,2507,"<p>I'm using Hibernate 3.1 and Oracle 10 DB. The blob is defined as @Lob @Basic @Column in the Hibernate entity which corresponds to the relevant DB table.
The error -java.sql.SQLException: Closed Connection- seem to appear once in  while, not in every attempt to get the blob from the DB.
This seems like a hibernate fetching issue, so I thought of specifying the type of fetch to be used - EAGER seems right in this case -but coudln't find any way to specify type of fetching for @Column type of object (there is a way to do that for collections / ""one to many"" relationships etc)</p>

<p>Would appreciate your help, thanks.</p>
",08-06-11 22:20,"""Session closed"" error when trying to get a blob from DB using getBinaryStream()",<java><oracle><hibernate>,4,0,
